S7;DME;ATH;320
S7;DME;FRA;319
S7;DME;LCA;738
S7;DME;MAD;319
S7;DME;PFO;738
S7;DME;SKG;320
U2;DME;MAN;319
UN;DME;BCN;763
UN;DME;PFO;763
VY;DME;BCN;320
;;;
CY;SVO;LCA;320
CZ;SVO;CAN;333
DL;SVO;JFK;333
SU;SVO;ATH;321
SU;SVO;BCN;321
SU;SVO;CAN;333
SU;SVO;FRA;320
SU;SVO;JFK;333
SU;SVO;LCA;321
SU;SVO;LHR;320
SU;SVO;MAD;321
SU;SVO;SKG;321
UX;SVO;BCN;32S
UX;SVO;MAD;32S
;;;
A3;BCN;ATH;320
AA;BCN;JFK;763
AA;BCN;LHR;320
AF;BCN;JFK;333
AY;BCN;JFK;763
BA;BCN;JFK;763
BA;BCN;LHR;320
DL;BCN;JFK;333
ET;BCN;FRA;321
FR;BCN;MAN;738
IB;BCN;ATH;320
IB;BCN;DME;320
IB;BCN;FRA;320
IB;BCN;JFK;763
IB;BCN;LHR;320
IB;BCN;MAD;321
IB;BCN;ORY;320
IB;BCN;TLS;320
KL;BCN;JFK;330
LH;BCN;FRA;321
LS;BCN;MAN;738
OA;BCN;ATH;320
QR;BCN;JFK;763
SU;BCN;SVO;321
UN;BCN;DME;763
US;BCN;JFK;763
UX;BCN;MAD;332
UX;BCN;SVO;32S
VY;BCN;ATH;320
VY;BCN;DME;320
VY;BCN;FRA;320
VY;BCN;MAD;320
VY;BCN;ORY;320
VY;BCN;TLS;320
ZB;BCN;MAN;321
;;;
A3;MAD;ATH;320
AA;MAD;JFK;757
AB;MAD;FRA;32A
AF;MAD;JFK;764
AF;MAD;ORY;738
AY;MAD;FRA;32A
AY;MAD;JFK;757
BA;MAD;JFK;757
BA;MAD;LHR;767
DL;MAD;JFK;764
EB;MAD;BCN;744
ET;MAD;FRA;321
FR;MAD;MAN;738
IB;MAD;BCN;319
IB;MAD;DME;319
IB;MAD;FRA;32S
IB;MAD;JFK;333
IB;MAD;LHR;321
IB;MAD;ORY;320
IB;MAD;TLS;CR9
KL;MAD;JFK;767
LA;MAD;FRA;787
LH;MAD;FRA;321
OA;MAD;ATH;320
S7;MAD;DME;319
SU;MAD;SVO;321
US;MAD;JFK;757
UX;MAD;BCN;332
UX;MAD;FRA;E90
UX;MAD;JFK;332
UX;MAD;ORY;738
UX;MAD;SVO;32S
VN;MAD;FRA;738
VY;MAD;BCN;320
;;;
A3;LHR;ATH;321
AA;LHR;ATH;767
AA;LHR;BCN;319
AA;LHR;FRA;319
AA;LHR;JFK;77W
AA;LHR;LCA;767
AA;LHR;MAN;319
AA;LHR;SFO;744
AA;LHR;TLS;319
AB;LHR;FRA;767
AB;LHR;ORY;320
AF;LHR;JFK;76W
AI;LHR;JFK;772
AY;LHR;JFK;744
AY;LHR;SFO;744
BA;LHR;ATH;767
BA;LHR;BCN;319
BA;LHR;DME;321
BA;LHR;FRA;767
BA;LHR;HND;777
BA;LHR;JFK;744
BA;LHR;LCA;767
BA;LHR;MAD;767
BA;LHR;MAN;319
BA;LHR;ORY;319
BA;LHR;SFO;744
BA;LHR;TLS;319
CY;LHR;LCA;320
CZ;LHR;CAN;787
DL;LHR;JFK;76W
DL;LHR;SFO;744
IB;LHR;BCN;319
IB;LHR;JFK;744
IB;LHR;MAD;321
IB;LHR;MAN;320
IB;LHR;ORY;319
IB;LHR;SFO;744
JL;LHR;HND;773
KL;LHR;JFK;76W
KU;LHR;JFK;777
LH;LHR;FRA;319
LH;LHR;SFO;777
MH;LHR;JFK;777
NH;LHR;HND;77W
NZ;LHR;SFO;777
