4U;319
7G;320
9C;320
A3;320
AA;767
AB;319
AC;319
AF;E90
AI;772
AS;321
AY;32A
AZ;320
B6;320
BA;767
BC;737
BY;73H
CA;73H
CY;320
CZ;319
DL;76W
EB;744
EL;AR8
ET;735
FM;738
FR;738
GF;320
HO;320
IB;32S
JL;767
KL;76W
KU;777
LA;787
LH;32A
LS;73H
MH;777
MT;321
MU;738
NH;777
NZ;744
OA;321
PK;777
QR;763
S7;738
SQ;388
SU;333
TO;73H
U2;320
U6;320
UA;388
UN;763
US;320
UX;E90
VN;738
VS;77W
VX;320
VY;320
ZB;321
ZH;737
